Time	Sum	Command
3	3	---> return
18	1005	--> __bobthefish_prompt_node
7	7	---> set -l should_show
62	970	---> if [ "$theme_display_node" = 'always' -o "$theme_display_nvm" = 'yes' ]...
12	12	----> [ "$theme_display_node" = 'always' -o "$theme_display_nvm" = 'yes' ]
7	7	----> [ "$theme_display_node" = 'yes' ]
25	889	----> __bobthefish_prompt_find_file_up "$PWD" package.json .nvmrc .node-version
10	10	-----> set -l dir "$argv[1]"
11	11	-----> set -l files $argv[2..-1]
6	19	-----> if test -z "$dir"...
7	7	------> test -z "$dir"
6	6	------> test -z "$files"
105	820	-----> while [ "$dir" ]
...
6	6	------> [ "$dir" ]
15	61	------> for f in $files...
3	19	-------> if [ -e "$dir/$f" ]...
16	16	--------> [ -e "$dir/$f" ]
4	14	-------> if [ -e "$dir/$f" ]...
10	10	--------> [ -e "$dir/$f" ]
4	13	-------> if [ -e "$dir/$f" ]...
9	9	--------> [ -e "$dir/$f" ]
7	7	------> [ "$dir" = '/' ]
66	122	------> set dir (__bobthefish_dirname "$dir")
30	56	-------> __bobthefish_dirname "$dir"
26	26	--------> string replace -r '/[^/]+/?$' '' -- $argv
7	7	------> [ "$dir" ]
16	57	------> for f in $files...
3	16	-------> if [ -e "$dir/$f" ]...
13	13	--------> [ -e "$dir/$f" ]
4	13	-------> if [ -e "$dir/$f" ]...
9	9	--------> [ -e "$dir/$f" ]
3	12	-------> if [ -e "$dir/$f" ]...
9	9	--------> [ -e "$dir/$f" ]
7	7	------> [ "$dir" = '/' ]
57	103	------> set dir (__bobthefish_dirname "$dir")
29	46	-------> __bobthefish_dirname "$dir"
17	17	--------> string replace -r '/[^/]+/?$' '' -- $argv
7	7	------> [ "$dir" ]
13	55	------> for f in $files...
5	16	-------> if [ -e "$dir/$f" ]...
11	11	--------> [ -e "$dir/$f" ]
4	13	-------> if [ -e "$dir/$f" ]...
9	9	--------> [ -e "$dir/$f" ]
4	13	-------> if [ -e "$dir/$f" ]...
9	9	--------> [ -e "$dir/$f" ]
8	8	------> [ "$dir" = '/' ]
55	103	------> set dir (__bobthefish_dirname "$dir")
27	48	-------> __bobthefish_dirname "$dir"
21	21	--------> string replace -r '/[^/]+/?$' '' -- $argv
6	6	------> [ "$dir" ]
16	53	------> for f in $files...
3	14	-------> if [ -e "$dir/$f" ]...
11	11	--------> [ -e "$dir/$f" ]
2	11	-------> if [ -e "$dir/$f" ]...
9	9	--------> [ -e "$dir/$f" ]
4	12	-------> if [ -e "$dir/$f" ]...
8	8	--------> [ -e "$dir/$f" ]
9	9	------> [ "$dir" = '/' ]
55	97	------> set dir (__bobthefish_dirname "$dir")
27	42	-------> __bobthefish_dirname "$dir"
15	15	--------> string replace -r '/[^/]+/?$' '' -- $argv
7	7	------> [ "$dir" ]
4	4	-----> return 1
7	7	---> [ -z "$should_show" ]
3	3	---> return
62	2392	--> set -l git_root_dir (__bobthefish_git_project_dir $real_pwd)
23	2330	---> __bobthefish_git_project_dir $real_pwd
10	10	----> [ "$theme_display_git" = 'no' ]
86	86	----> command -q git
6	6	----> set -q theme_vcs_ignore_paths
22	2205	----> if [ "$theme_git_worktree_support" != 'yes' ]...
8	8	-----> [ "$theme_git_worktree_support" != 'yes' ]
87	2048	-----> set -l git_toplevel (command git rev-parse --show-toplevel 2>/dev/null)
1961	1961	------> command git rev-parse --show-toplevel 2>/dev/null
11	11	-----> [ -z "$git_toplevel" ]
14	116	-----> switch $real_pwd/...
98	98	------> echo $git_toplevel
4	4	------> return
62	92	--> set -l hg_root_dir (__bobthefish_hg_project_dir $real_pwd)
16	30	---> __bobthefish_hg_project_dir $real_pwd
10	10	----> [ "$theme_display_hg" = 'yes' ]
4	4	----> return
54	82	--> set -l fossil_root_dir (__bobthefish_fossil_project_dir $real_pwd)
17	28	---> __bobthefish_fossil_project_dir $real_pwd
8	8	----> [ "$theme_display_fossil" = 'yes' ]
3	3	----> return
63	16437	--> switch (__bobthefish_closest_parent "$git_root_dir" "$hg_root_dir" "$fossil_root_dir")...
16	252	---> __bobthefish_closest_parent "$git_root_dir" "$hg_root_dir" "$fossil_root_dir"
56	236	----> if builtin -q path...
22	22	-----> builtin -q path
57	158	-----> echo (path sort -r $argv)[1]
101	101	------> path sort -r $argv
53	16122	---> __bobthefish_prompt_git $git_root_dir $real_pwd
9	9	----> set -l dirty ''
51	3131	----> if [ "$theme_display_git_dirty" != 'no' ]...
9	9	-----> [ "$theme_display_git_dirty" != 'no' ]
73	1484	-----> set -l show_dirty (command git config --bool bash.showDirtyState 2>/dev/null)
1411	1411	------> command git config --bool bash.showDirtyState 2>/dev/null
10	1587	-----> if [ "$show_dirty" != 'false' ]...
11	11	------> [ "$show_dirty" != 'false' ]
65	1552	------> set dirty (command git diff --no-ext-diff --quiet --exit-code 2>/dev/null; or echo -n "$git_dirty_glyph")
1473	1473	-------> command git diff --no-ext-diff --quiet --exit-code 2>/dev/null
14	14	-------> echo -n "$git_dirty_glyph"
3	14	------> if [ "$dirty" -a "$theme_display_git_dirty_verbose" = 'yes' ]...
11	11	-------> [ "$dirty" -a "$theme_display_git_dirty_verbose" = 'yes' ]
63	1479	----> set -l staged (command git diff --cached --no-ext-diff --quiet --exit-code 2>/dev/null; or echo -n "$git_staged_glyph")
1416	1416	-----> command git diff --cached --no-ext-diff --quiet --exit-code 2>/dev/null
58	1247	----> set -l stashed (__bobthefish_git_stashed)
11	1189	-----> __bobthefish_git_stashed
22	1178	------> if [ "$theme_display_git_stashed_verbose" = 'yes' ]...
9	9	-------> [ "$theme_display_git_stashed_verbose" = 'yes' ]
1147	1147	-------> command git rev-parse --verify --quiet refs/stash >/dev/null
49	1285	----> set -l ahead (__bobthefish_git_ahead)
19	1236	-----> __bobthefish_git_ahead
3	13	------> if [ "$theme_display_git_ahead_verbose" = 'yes' ]...
10	10	-------> [ "$theme_display_git_ahead_verbose" = 'yes' ]
6	6	------> set -l ahead 0
6	6	------> set -l behind 0
62	1171	------> for line in (command git rev-list --left-right '@{upstream}...HEAD' 2>/dev/null)...
1109	1109	-------> command git rev-list --left-right '@{upstream}...HEAD' 2>/dev/null
6	21	------> if [ $ahead -eq 1 ]...
10	10	-------> [ $ahead -eq 1 ]
5	5	-------> [ $behind -eq 1 ]
6	6	----> set -l new ''
8	2505	----> if [ "$theme_display_git_untracked" != 'no' ]...
6	6	-----> [ "$theme_display_git_untracked" != 'no' ]
61	1201	-----> set -l show_untracked (command git config --bool bash.showUntrackedFiles 2>/dev/null)
1140	1140	------> command git config --bool bash.showUntrackedFiles 2>/dev/null
10	1290	-----> if [ "$show_untracked" != 'false' ]...
10	10	------> [ "$show_untracked" != 'false' ]
67	1261	------> set new (command git ls-files --other --exclude-standard --directory --no-empty-directory "$git_root_dir" 2>/dev/null)
1194	1194	-------> command git ls-files --other --exclude-standard --directory --no-empty-directory "$git_root_dir" 2>/dev/null
2	9	------> if [ "$new" ]...
7	7	-------> [ "$new" ]
9	9	----> set -l flags "$dirty$staged$stashed$ahead$new"
4	4	----> [ "$flags" ]
4	4	----> set flags " $flags"
9	9	----> set -l flag_colors $color_repo
8	18	----> if [ "$dirty" ]...
4	4	-----> [ "$dirty" ]
6	6	-----> set flag_colors $color_repo_dirty
32	787	----> __bobthefish_path_segment $git_root_dir project
9	9	-----> set -l segment_color $color_path
9	9	-----> set -l segment_basename_color $color_path_basename
3	12	-----> if not [ -w "$segment_dir" ]...
9	9	------> not [ -w "$segment_dir" ]
39	187	-----> __bobthefish_start_segment $segment_color
8	8	------> set -l bg $argv[1]
5	5	------> set -e argv[1]
7	7	------> set -l fg $argv[1]
4	4	------> set -e argv[1]
83	83	------> set_color normal
12	12	------> set_color -b $bg $fg $argv
16	23	------> switch "$__bobthefish_current_bg"...
7	7	-------> echo -n ' '
6	6	------> set __bobthefish_current_bg $bg
5	5	-----> set -l directory
3	3	-----> set -l parent
12	492	-----> switch "$segment_dir"...
41	404	------> set parent (__bobthefish_pretty_parent "$segment_dir")
25	363	-------> __bobthefish_pretty_parent "$segment_dir"
6	6	--------> set -q fish_prompt_pwd_dir_length
5	5	--------> set -l fish_prompt_pwd_dir_length 1
10	10	--------> set -l real_home ~
53	281	--------> set -l parent_dir (string replace -r '^'(__bobthefish_escape_regex "$real_home")'($|/)' '~$1' (__bobthefish_dirname $child_dir))
97	228	---------> string replace -r '^'(__bobthefish_escape_regex "$real_home")'($|/)' '~$1' (__bobthefish_dirname $child_dir)
49	75	----------> __bobthefish_escape_regex "$real_home"
26	26	-----------> string escape --style=regex "$str" 2>/dev/null
25	56	----------> __bobthefish_dirname $child_dir
31	31	-----------> string replace -r '/[^/]+/?$' '' -- $argv
2	10	--------> if [ -z "$parent_dir" ]...
8	8	---------> [ -z "$parent_dir" ]
3	9	--------> if [ $fish_prompt_pwd_dir_length -eq 0 ]...
6	6	---------> [ $fish_prompt_pwd_dir_length -eq 0 ]
17	17	--------> string replace -ar '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' "$parent_dir/"
39	76	------> set directory (__bobthefish_basename "$segment_dir")
25	37	-------> __bobthefish_basename "$segment_dir"
12	12	--------> string replace -r '^.*/' '' -- $argv
11	11	-----> [ "$theme_show_project_parent" != "no" -o "$path_type" != "project" ]
8	8	-----> echo -n $parent
12	12	-----> set_color -b $segment_basename_color
7	7	-----> echo -ns $directory ' '
24	111	----> __bobthefish_start_segment $flag_colors
6	6	-----> set -l bg $argv[1]
4	4	-----> set -e argv[1]
5	5	-----> set -l fg $argv[1]
4	4	-----> set -e argv[1]
7	7	-----> set_color normal
10	10	-----> set_color -b $bg $fg $argv
27	46	-----> switch "$__bobthefish_current_bg"...
6	6	------> set_color $__bobthefish_current_bg
7	7	------> echo -ns $right_black_arrow_glyph ' '
6	6	------> set_color $fg $argv
5	5	-----> set __bobthefish_current_bg $bg
52	5041	----> echo -ns (__bobthefish_git_branch) $flags ' '
18	4989	-----> __bobthefish_git_branch
64	1572	------> set -l tag (command git describe --tags --exact-match 2>/dev/null)
1508	1508	-------> command git describe --tags --exact-match 2>/dev/null
80	1332	------> set -l branch (command git symbolic-ref HEAD 2>/dev/null | string replace -r '^refs/heads/' '')
1252	1252	-------> command git symbolic-ref HEAD 2>/dev/null | string replace -r '^refs/heads/' ''
28	2067	------> begin...
12	12	-------> [ -n "$theme_git_default_branches" ]
64	1878	-------> set -l theme_git_default_branches master main (git config init.defaultBranch)
1814	1814	--------> git config init.defaultBranch
15	15	-------> [ "$theme_display_git_master_branch" != 'yes' -a "$theme_display_git_default_branch" != 'yes' ]
120	120	-------> contains $branch $theme_git_default_branches
10	10	-------> echo $branch_glyph
4	4	-------> return
12	12	----> set_color normal
16	412	----> if [ "$theme_git_worktree_support" != 'yes' ]...
10	10	-----> [ "$theme_git_worktree_support" != 'yes' ]
58	374	-----> set -l project_pwd (__bobthefish_project_pwd $git_root_dir $real_pwd)
33	316	------> __bobthefish_project_pwd $git_root_dir $real_pwd
8	8	-------> set -q theme_project_dir_length
7	7	-------> set -l theme_project_dir_length 0
78	233	-------> set -l project_dir (string replace -r '^'(__bobthefish_escape_regex "$project_root_dir")'($|/)' '' $real_pwd)
81	155	--------> string replace -r '^'(__bobthefish_escape_regex "$project_root_dir")'($|/)' '' $real_pwd
48	74	---------> __bobthefish_escape_regex "$project_root_dir"
26	26	----------> string escape --style=regex "$str" 2>/dev/null
10	35	-------> if [ $theme_project_dir_length -eq 0 ]...
11	11	--------> [ $theme_project_dir_length -eq 0 ]
10	10	--------> echo -n $project_dir
4	4	--------> return
3	9	-----> if [ "$project_pwd" ]...
6	6	------> [ "$project_pwd" ]
3	3	-----> return
28	186	--> __bobthefish_finish_segments
40	81	---> if [ -n "$__bobthefish_current_bg" ]...
10	10	----> [ -n "$__bobthefish_current_bg" ]
9	9	----> set_color normal
11	11	----> set_color $__bobthefish_current_bg
11	11	----> echo -ns $right_black_arrow_glyph ' '
13	62	---> if [ "$theme_newline_cursor" = 'yes' ]...
9	9	----> [ "$theme_newline_cursor" = 'yes' ]
8	8	----> echo -ens "\n"
11	11	----> set_color $fish_color_autosuggestion
6	21	----> if set -q theme_newline_prompt...
6	6	-----> set -q theme_newline_prompt
9	9	-----> echo -ens "$theme_newline_prompt"
7	7	---> set_color normal
8	8	---> set __bobthefish_current_bg
11	257	> fish_right_prompt
13	45	-> if not set -q CONDA_LEFT_PROMPT...
9	9	--> not set -q CONDA_LEFT_PROMPT
13	23	--> __conda_add_prompt
4	10	---> if set -q CONDA_PROMPT_MODIFIER...
6	6	----> set -q CONDA_PROMPT_MODIFIER
19	201	-> __fish_right_prompt_orig
10	10	--> set -l __bobthefish_left_arrow_glyph \uE0B3
4	22	--> if [ "$theme_powerline_fonts" = "no" -a "$theme_nerd_fonts" != "yes" ]...
18	18	---> [ "$theme_powerline_fonts" = "no" -a "$theme_nerd_fonts" != "yes" ]
12	12	--> set_color $fish_color_autosuggestion
28	101	--> __bobthefish_cmd_duration
8	8	---> [ "$theme_display_cmd_duration" = "no" ]
13	13	---> [ -z "$CMD_DURATION" -o "$CMD_DURATION" -lt 100 ]
11	27	---> if [ "$CMD_DURATION" -lt 5000 ]...
7	7	----> [ "$CMD_DURATION" -lt 5000 ]
9	9	----> echo -ns $CMD_DURATION 'ms'
9	9	---> set_color $fish_color_normal
8	8	---> set_color $fish_color_autosuggestion
8	8	---> [ "$theme_display_date" = "no" ]
10	30	--> __bobthefish_timestamp
17	17	---> [ "$theme_display_date" = "no" ]
3	3	---> return
7	7	--> set_color normal
25	690	> fish_title
16	28	-> __bobthefish_title_user
3	12	--> if [ "$theme_title_display_user" = 'yes' ]...
9	9	---> [ "$theme_title_display_user" = 'yes' ]
2	9	-> if [ "$theme_title_display_process" = 'yes' ]...
7	7	--> [ "$theme_title_display_process" = 'yes' ]
6	628	-> if [ "$theme_title_display_path" != 'no' ]...
9	9	--> [ "$theme_title_display_path" != 'no' ]
4	613	--> if [ "$theme_title_use_abbreviated_path" = 'no' ]...
7	7	---> [ "$theme_title_use_abbreviated_path" = 'no' ]
105	602	---> prompt_pwd
7	7	----> set -l options h/help d/dir-length= D/full-length-dirs=
11	11	----> argparse -n prompt_pwd $options -- $argv
4	8	----> if set -q _flag_help...
4	4	-----> set -q _flag_help
4	4	----> set -q argv[1]
6	6	----> set argv $PWD
4	4	----> set -ql _flag_d
4	4	----> set -q fish_prompt_pwd_dir_length
4	4	----> set -l fish_prompt_pwd_dir_length 1
5	5	----> set -l fulldirs 0
3	3	----> set -ql _flag_D
5	5	----> set -q fish_prompt_pwd_full_dirs
4	4	----> set -l fish_prompt_pwd_full_dirs 1
17	432	----> for path in $argv...
44	53	-----> set -l realhome (string escape --style=regex -- ~)
9	9	------> string escape --style=regex -- ~
44	73	-----> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $path)
29	29	------> string replace -r '^'"$realhome"'($|/)' '~$1' $path
12	289	-----> if test "$fish_prompt_pwd_dir_length" -eq 0...
7	7	------> test "$fish_prompt_pwd_dir_length" -eq 0
5	5	------> set -l full
11	204	------> if test $fish_prompt_pwd_full_dirs -gt 0...
5	5	-------> test $fish_prompt_pwd_full_dirs -gt 0
50	177	-------> set -l all (string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp)
43	127	--------> string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp
84	84	---------> math $fish_prompt_pwd_full_dirs - 1
6	6	-------> set tmp $all[1]
5	5	-------> set full $all[2..]
45	61	------> string join / -- (string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp) $full
16	16	-------> string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
25	122	> __fish_winch_handler SIGWINCH
26	97	-> if test "$fish_handle_reflow" = 1 2>/dev/null...
39	39	--> test "$fish_handle_reflow" = 1 2>/dev/null
32	32	--> commandline -f repaint >/dev/null 2>/dev/null
28	76	> fish_mode_prompt
16	16	-> [ "$theme_display_vi" != 'no' ]
28	28	-> [ "$fish_key_bindings" = 'fish_vi_key_bindings' \
        -o "$fish_key_bindings" = 'hybrid_bindings' \
        -o "$fish_key_bindings" = 'fish_hybrid_key_bindings' \
        -o "$theme_display_vi" = 'yes' ]
4	4	-> return
22	24762	> fish_prompt
18	18	-> set -l last_status $status
4	11	-> if set -q CONDA_LEFT_PROMPT...
7	7	--> set -q CONDA_LEFT_PROMPT
15	22	-> return_last_status $last_status
7	7	--> return $argv
88	24689	-> __fish_prompt_orig
24	24	--> set -l last_status $status
3	15	--> if [ "$TERM" = 'dumb' ]...
12	12	---> [ "$TERM" = 'dumb' ]
155	701	--> __bobthefish_glyphs
11	11	---> set -x branch_glyph            \uE0A0
9	9	---> set -x right_black_arrow_glyph \uE0B0
9	9	---> set -x right_arrow_glyph       \uE0B1
8	8	---> set -x left_black_arrow_glyph  \uE0B2
9	9	---> set -x left_arrow_glyph        \uE0B3
8	8	---> set -x detached_glyph          \u27A6
8	8	---> set -x tag_glyph               \u2302
7	7	---> set -x nonzero_exit_glyph      '! '
9	9	---> set -x private_glyph           \uE0A2 ' '
9	9	---> set -x superuser_glyph         '$ '
7	7	---> set -x bg_job_glyph            '% '
9	9	---> set -x hg_glyph                \u263F
11	11	---> set -x superscript_glyph       \u00B9 \u00B2 \u00B3
6	6	---> set -x virtualenv_glyph        \u25F0
7	7	---> set -x pypy_glyph              \u1D56
8	8	---> set -x ruby_glyph              ''
7	7	---> set -x go_glyph                ''
8	8	---> set -x nix_glyph               ''
8	8	---> set -x desk_glyph              \u25F2
7	7	---> set -x k8s_glyph               \u2388
8	8	---> set -x vagrant_running_glyph   \u2191
7	7	---> set -x vagrant_poweroff_glyph  \u2193
7	7	---> set -x vagrant_aborted_glyph   \u2715
9	9	---> set -x vagrant_saved_glyph     \u21E1
6	6	---> set -x vagrant_stopping_glyph  \u21E3
7	7	---> set -x vagrant_unknown_glyph   '!'
10	10	---> set -x git_dirty_glyph      '*'
9	9	---> set -x git_staged_glyph     '~'
7	7	---> set -x git_stashed_glyph    '$'
6	6	---> set -x git_untracked_glyph  '…'
7	7	---> set -x git_ahead_glyph      \u2191
8	8	---> set -x git_behind_glyph     \u2193
7	7	---> set -x git_plus_glyph       '+'
7	7	---> set -x git_minus_glyph      '-'
7	7	---> set -x git_plus_minus_glyph '±'
7	7	---> set -x fossil_glyph \U1F9B4
12	30	---> if [ "$theme_powerline_fonts" = "no" -a "$theme_nerd_fonts" != "yes" ]...
18	18	----> [ "$theme_powerline_fonts" = "no" -a "$theme_nerd_fonts" != "yes" ]
59	221	---> if [ "$theme_nerd_fonts" = "yes" ]...
7	7	----> [ "$theme_nerd_fonts" = "yes" ]
9	9	----> set private_glyph    \uF023 ' '
6	6	----> set branch_glyph     \uF418
7	7	----> set detached_glyph   \uF417
6	6	----> set tag_glyph        \uF412
7	7	----> set nix_glyph        \uF313 ' '
7	7	----> set virtualenv_glyph \uE73C ' '
7	7	----> set ruby_glyph       \uE791 ' '
7	7	----> set go_glyph         \uE626 ' '
9	9	----> set node_glyph       \uE718 ' '
6	6	----> set vagrant_running_glyph  \uF431
8	8	----> set vagrant_poweroff_glyph \uF433
6	6	----> set vagrant_aborted_glyph  \uF468
6	6	----> set vagrant_unknown_glyph  \uF421
8	8	----> set git_dirty_glyph      \uF448 ''
9	9	----> set git_staged_glyph     \uF0C7 ''
7	7	----> set git_stashed_glyph    \uF0C6 ''
6	6	----> set git_untracked_glyph  \uF128 ''
6	6	----> set fossil_glyph \UF00B9
6	6	----> set git_ahead_glyph      \uF47B
6	6	----> set git_behind_glyph     \uF47C
5	5	----> set git_plus_glyph       \uF0DE
5	5	----> set git_minus_glyph      \uF0DD
6	6	----> set git_plus_minus_glyph \uF0DC
3	11	---> if [ "$theme_avoid_ambiguous_glyphs" = "yes" ]...
8	8	----> [ "$theme_avoid_ambiguous_glyphs" = "yes" ]
56	645	--> __bobthefish_colors $theme_color_scheme
245	589	---> switch "$color_scheme"...
8	8	----> set -l red      cc9999 ce000f 660000
7	7	----> set -l green    addc10 189303 0c4801
6	6	----> set -l blue     48b4fb 005faf 255e87
6	6	----> set -l orange   f6b117 unused 3a2a03
6	6	----> set -l brown    bf5e00 803f00 4d2600
6	6	----> set -l grey     cccccc 999999 333333
6	6	----> set -l white    ffffff
8	8	----> set -l black    000000
6	6	----> set -l ruby_red af0000
5	5	----> set -l go_blue  00d7d7
26	26	----> set -x color_initial_segment_exit     $white $red[2] --bold
11	11	----> set -x color_initial_segment_private  $white $grey[3]
11	11	----> set -x color_initial_segment_su       $white $green[2] --bold
9	9	----> set -x color_initial_segment_jobs     $white $blue[3] --bold
9	9	----> set -x color_path                     $grey[3] $grey[2]
11	11	----> set -x color_path_basename            $grey[3] $white --bold
8	8	----> set -x color_path_nowrite             $red[3] $red[1]
12	12	----> set -x color_path_nowrite_basename    $red[3] $red[1] --bold
9	9	----> set -x color_repo                     $green[1] $green[3]
9	9	----> set -x color_repo_work_tree           $grey[3] $white --bold
9	9	----> set -x color_repo_dirty               $red[2] $white
9	9	----> set -x color_repo_staged              $orange[1] $orange[3]
10	10	----> set -x color_vi_mode_default          $grey[2] $grey[3] --bold
9	9	----> set -x color_vi_mode_insert           $green[2] $grey[3] --bold
9	9	----> set -x color_vi_mode_visual           $orange[1] $orange[3] --bold
9	9	----> set -x color_vagrant                  $blue[1] $white --bold
10	10	----> set -x color_k8s                      $green[2] $white --bold
10	10	----> set -x color_aws_vault                $blue[3] $orange[1] --bold
9	9	----> set -x color_aws_vault_expired        $blue[3] $red[3] --bold
8	8	----> set -x color_username                 $grey[1] $blue[3] --bold
9	9	----> set -x color_hostname                 $grey[1] $blue[3]
9	9	----> set -x color_screen                   $green[1] $white --bold
9	9	----> set -x color_rvm                      $ruby_red $grey[1] --bold
10	10	----> set -x color_node                     $green[1] $white --bold
8	8	----> set -x color_virtualfish              $blue[2] $grey[1] --bold
8	8	----> set -x color_virtualgo                $go_blue $black --bold
9	9	----> set -x color_desk                     $blue[2] $grey[1] --bold
11	11	----> set -x color_nix                      $blue[2] $grey[1] --bold
198	198	--> type -q bobthefish_colors
7	7	--> set -l __bobthefish_current_bg
68	135	--> set -l real_pwd (__bobthefish_pwd)
33	67	---> __bobthefish_pwd
34	34	----> builtin pwd -P 2>/dev/null
35	177	--> __bobthefish_prompt_status $last_status
6	6	---> set -l nonzero
6	6	---> set -l superuser
6	6	---> set -l bg_jobs
12	12	---> [ $last_status -ne 0 ]
14	14	---> [ -w / -o -w /private/ ]
31	72	---> if set -q AUTOJUMP_SOURCED...
5	5	----> set -q AUTOJUMP_SOURCED
7	36	----> if [ "$theme_display_jobs_verbose" = 'yes' ]...
9	9	-----> [ "$theme_display_jobs_verbose" = 'yes' ]
20	20	-----> jobs -p >/dev/null
4	26	---> if [ "$nonzero" -o "$fish_private_mode" -o "$superuser" -o "$bg_jobs" ]...
22	22	----> [ "$nonzero" -o "$fish_private_mode" -o "$superuser" -o "$bg_jobs" ]
45	148	--> __bobthefish_prompt_user
35	35	---> [ "$theme_display_user" = 'yes' -o \( "$theme_display_user" != 'no' -a -n "$SSH_CLIENT" \) -o \( -n "$default_user" -a "$USER" != "$default_user" \) ]
11	11	---> [ "$theme_display_sudo_user" = 'yes' -a -n "$SUDO_USER" ]
20	20	---> [ "$theme_display_hostname" = 'yes' -o \( "$theme_display_hostname" != 'no' -a -n "$SSH_CLIENT" \) ]
3	8	---> if set -q display_user...
5	5	----> set -q display_user
4	9	---> if set -q display_sudo_user...
5	5	----> set -q display_sudo_user
4	9	---> if set -q display_hostname...
5	5	----> set -q display_hostname
5	5	---> set -q display_user
3	3	---> set -q display_sudo_user
3	3	---> set -q display_hostname
13	27	--> __bobthefish_prompt_screen
11	11	---> [ "$theme_display_screen" = 'no' -o -z "$STY" ]
3	3	---> return
10	22	--> __bobthefish_prompt_vagrant
9	9	---> [ "$theme_display_vagrant" = 'yes' -a -f Vagrantfile ]
3	3	---> return
12	25	--> __bobthefish_prompt_docker
10	10	---> [ "$theme_display_docker_machine" = 'no' -o -z "$DOCKER_MACHINE_NAME" ]
3	3	---> return
12	23	--> __bobthefish_prompt_k8s_context
7	7	---> [ "$theme_display_k8s_context" = 'yes' ]
4	4	---> return
12	23	--> __bobthefish_prompt_aws_vault_profile
8	8	---> [ "$theme_display_aws_vault_profile" = 'yes' ]
3	3	---> return
10	24	--> __bobthefish_prompt_nix
10	10	---> [ "$theme_display_nix" = 'no' -o -z "$IN_NIX_SHELL" ]
4	4	---> return
11	26	--> __bobthefish_prompt_desk
11	11	---> [ "$theme_display_desk" = 'no' -o -z "$DESK_ENV" ]
4	4	---> return
22	476	--> __bobthefish_prompt_rubies
7	7	---> [ "$theme_display_ruby" = 'no' ]
6	6	---> set -l ruby_version
12	431	---> if command -q rvm-prompt...
113	113	----> command -q rvm-prompt
97	97	----> command -q rbenv
114	114	----> type -q chruby
95	95	----> command -q asdf
7	7	---> [ -z "$ruby_version" ]
3	3	---> return
23	834	--> __bobthefish_prompt_golang $real_pwd
8	8	---> [ "$theme_display_go" = 'no' ]
8	8	---> set -l gomod_version "0"
7	7	---> set -l d $real_pwd
84	770	---> while not [ -z "$d" ]
...
7	7	----> not [ -z "$d" ]
4	14	----> if [ -e $d/go.mod ]...
10	10	-----> [ -e $d/go.mod ]
7	7	----> [ "$d" = "/" ]
78	201	----> set d (__bobthefish_dirname $d)
48	123	-----> __bobthefish_dirname $d
75	75	------> string replace -r '/[^/]+/?$' '' -- $argv
9	9	----> not [ -z "$d" ]
4	32	----> if [ -e $d/go.mod ]...
28	28	-----> [ -e $d/go.mod ]
7	7	----> [ "$d" = "/" ]
63	121	----> set d (__bobthefish_dirname $d)
36	58	-----> __bobthefish_dirname $d
22	22	------> string replace -r '/[^/]+/?$' '' -- $argv
7	7	----> not [ -z "$d" ]
5	15	----> if [ -e $d/go.mod ]...
10	10	-----> [ -e $d/go.mod ]
7	7	----> [ "$d" = "/" ]
59	102	----> set d (__bobthefish_dirname $d)
26	43	-----> __bobthefish_dirname $d
17	17	------> string replace -r '/[^/]+/?$' '' -- $argv
8	8	----> not [ -z "$d" ]
3	12	----> if [ -e $d/go.mod ]...
9	9	-----> [ -e $d/go.mod ]
8	8	----> [ "$d" = "/" ]
65	121	----> set d (__bobthefish_dirname $d)
34	56	-----> __bobthefish_dirname $d
22	22	------> string replace -r '/[^/]+/?$' '' -- $argv
8	8	----> not [ -z "$d" ]
8	18	---> if [ "$gomod_version" = "0" ]...
7	7	----> [ "$gomod_version" = "0" ]
3	3	----> return
21	70	--> __bobthefish_prompt_virtualfish
27	27	---> command -q python
18	18	---> [ "$theme_display_virtualenv" = 'no' -o -z "$VIRTUAL_ENV" -a -z "$CONDA_DEFAULT_ENV" ]
4	4	---> return
12	26	--> __bobthefish_prompt_virtualgo
11	11	---> [ "$theme_display_virtualgo" = 'no' -o -z "$VIRTUALGO" ]
3	3	---> return
17	964	--> __bobthefish_prompt_node
7	7	---> set -l should_show
49	931	---> if [ "$theme_display_node" = 'always' -o "$theme_display_nvm" = 'yes' ]...
12	12	----> [ "$theme_display_node" = 'always' -o "$theme_display_nvm" = 'yes' ]
6	6	----> [ "$theme_display_node" = 'yes' ]
26	864	----> __bobthefish_prompt_find_file_up "$PWD" package.json .nvmrc .node-version
8	8	-----> set -l dir "$argv[1]"
9	9	-----> set -l files $argv[2..-1]
6	19	-----> if test -z "$dir"...
7	7	------> test -z "$dir"
6	6	------> test -z "$files"
85	798	-----> while [ "$dir" ]
...
6	6	------> [ "$dir" ]
16	57	------> for f in $files...
3	15	-------> if [ -e "$dir/$f" ]...
12	12	--------> [ -e "$dir/$f" ]
3	13	-------> if [ -e "$dir/$f" ]...
